Osmanlıca,Türkçe,Ebced,Mağribi Ebced
براءت,Berat,604,aynısı
بَرکت,Bereket,622,aynısı
برفين,Berfin,342,aynısı
بركزار,Bergüzar,430,aynısı
بريل,Beril,242,aynısı
بريوان,Berivan,269,aynısı
برك,Berk,222,aynısı
برقانت,Berkant,753,aynısı
بركاى,Berkay,224,aynısı
بركه,Berke,227,aynısı
برنا,Berna,253,aynısı
برّا,Berra,203,aynısı
برّاق,Berrak,303,aynısı
برّين,Berrin,262,aynısı
برتان,Bertan,653,aynısı
بسيم,Besim,112,352
بسيمه,Besime,117,357
بشر,Beşer,502,1202
بشير,Beşir,512,1212
بشيره,Beşire,517,1217
بتول,Betül,438,aynısı
بياض,Beyaz,813,103
بايزيد,Beyazit,34,aynısı
بيدا,Beyda,17,aynısı
بيخان,Beyhan,663,aynısı
بيضا,Beyza,813,103
بزن,Bezen,59,aynısı
بلال,Bilal,63,aynısı
بيلكه,Bilge,67,aynısı
بيلكه خان,Bilgehan,718,aynısı
بيلكن,Bilgen,112,aynısı
بيلكين,Bilgin,122,aynısı
بللور,Billur,268,aynısı
بن على,Binali,153,aynısı
بيگناز,Binnaz,90,aynısı
برجان,Bircan,256,aynısı
بيركل,Birgül,262,aynısı
بيرخان,Birhan,863,aynısı
بيرول,Birol,248,aynısı
بيرسل,Birsel,302,542
بيرسن,Birsen,322,562
بورا,Bora,209,aynısı
بغرا,Buğra,1203,1103
بوكت,Buket,428,aynısı
بولوت,Bulut,444,aynısı
بوراق,Burak,309,aynısı
برجو,Burcu,211,aynısı
بورچین,Burçin,271,aynısı
برهان,Burhan,258,aynısı
بُرهان‌الدین,Burhaneddin,353,aynısı
بوسه,Buse,73,313
بلبل,Bülbül,64,aynısı
بلند,Bülent,86,aynısı
بنيامين,Bünyamin,163,aynısı
بشرى,Büşra,503,1203
جبار,Cabbar,206,aynısı
جابر,Cabir,206,aynısı
جعفر,Cafer,353,aynısı
جاهد,Cahid,13,aynısı
جاهده,Cahide,18,aynısı
جاهد,Cahit,13,aynısı
جان,Can,54,aynısı
جانان,Canan,105,aynısı
جان برك,Canberk,276,aynısı
جاندن,Candan,108,aynısı
جانر,Caner,254,aynısı
جانصو,Cansu,150,120
جاویدان,Cavidan,75,aynısı
جاوید,Cavit,24,aynısı
جبل,Cebel,35,aynısı
جبراءيل,Cebrail,247,aynısı
جلال,Celal,64,aynısı
جلال‌الدین,Celaleddin,159,aynısı
جليل,Celil,73,aynısı
جم,Cem,43,aynısı
جمال,Cemal,74,aynısı
جمال الدين,Cemalettin,169,aynısı
جمال,Cemil,74,aynısı
جميلة,Cemile,88,aynısı
جمره,Cemre,248,aynısı
جمشید,Cemşit,357,1057
جناب,Cenap,56,aynısı
جنكيز,Cengiz,90,aynısı
جنك,Cenk,73,aynısı
جنكر,Cenker,273,aynısı
جنات,Cennet,454,aynısı
جرن,Ceren,253,aynısı
جواهر,Cevahir,215,aynısı
جواد,Cevat,14,aynısı
جودت,Cevdet,413,aynısı
جيداء,Ceyda,19,aynısı
جيحان,Ceyhan,72,aynısı
جيحون,Ceyhun,77,aynısı
جيلان,Ceylan,94,aynısı
جهاد,Cihad,13,aynısı
جيهان,Cihan,69,aynısı
جهانگير,Cihangir,289,aynısı
جهاد,Cihat,13,aynısı
جيوان,Civan,70,aynısı
جوانمرد,Civanmert,304,aynısı
جوشقون,Coşkun,465,1165
جمعه,Cuma,118,aynısı
جمهور,Cumhur,254,aynısı
جنيد,Cüneyd,67,aynısı
جنيد,Cüneyt,67,aynısı
چاغداش,Çağdaş,1309,1909
چاغلا,Çağla,1035,935
چلبى,Çelebi,36,aynısı
چليكصو,Çeliksu,159,129
چشم ناز,Çeşminaz,401,1101
چتين,Çetin,463,aynısı
چيچك,Çiçek,36,aynısı
چيكدم,Çiğdem,77,aynısı
داملا,Damla,76,aynısı
دانیال,Danyal,96,aynısı
داود,Davud,15,aynısı
داود,Davut,15,aynısı
ده ده,Dede,18,aynısı
دفنه,Defne,139,aynısı
دمت,Demet,444,aynısı
دمير,Demir,254,aynısı
دميرخان,Demirhan,905,aynısı
دگيز,Deniz,41,aynısı
درويش,Derviş,520,1220
دريا,Derya,215,aynısı
دَستان,Destan,515,755
دولت,Devlet,440,aynısı
دوريم,Devrim,260,aynısı
ديدار,Didar,219,aynısı
ديدم,Didem,58,aynısı
ديلا,Dila,45,aynısı
ديلان,Dilan,95,aynısı
دلآرا,Dilara,236,aynısı
دلاور,Dilaver,241,aynısı
ديلاى,Dilay,46,aynısı
دلبر,Dilber,236,aynısı
ديلك,Dilek,64,aynısı
دیندار,Dindar,269,aynısı
دوغان,Doğan,1061,961
دوغاناى,Doğanay,1063,963
دوغوقان,Doğukan,1167,1067
