tr isim,os_isim ,ebced,mağribi ebced,,,,
Semahat, سماحت,509,749,,,,
Semih, سميح,118,358,,,,
Semiha, سميحه,123,363,,,,
Serap, سراب,263,503,,,,
Serdar, سردار,465,705,,,,
Serkan, سرقان,411,651,,,,
Sermet, سرمد,304,544,,,,
Sermin, سرمين,360,600,,,,
Serpil, سرپل,292,532,,,,
Servet, ثروت,1106,1106,,,,
Seval, سوال,97,337,,,,
Sevda, سودا,71,311,,,,
Sevgi, سَوكى,87,327,,,,
Sıddık, صِدیق,204,174,,,,
Sıddıka, صدّيقه,209,179,,,,
Sıdıka, صدّيقه,209,179,,,,
Sibel, سيبل,102,342,,,,
Sinan, سنان,161,401,,,,
Solmaz, صولماز,174,144,,,,
Soner, صوڭر,346,316,,,,
Songül, صوڭكل,196,166,,,,
Suna, صونا,147,117,,,,
Süheyla, سُهیلا,106,346,,,,
Sünbül, سُنبل,142,382,,,,
Şadiye, شادیه,320,1020,,,,
Şafak, شفاق,481,1181,,,,
Şafiye, شافيه,396,1096,,,,
Şaheser, شاه أثر,1007,1707,,,,
Şaziye, شازيه,323,1023,,,,
Şebnem, شبنم,392,1092,,,,
Şehri, شهرى,506,1206,,,,
Şenol, شنول,386,1086,,,,
Şöhret, شهرت,905,1605,,,,
Şükran, شكران,571,1271,,,,
Şükriye, شكريه,535,1235,,,,
Şükrü, شكرى,521,1221,,,,
Tahsin, تحسین,528,768,,,,
Talha, طَلحه,52,52,,,,
Talia, طالعه,115,115,,,,
Taner, تاڭر,651,651,,,,
Tayyip, طَیب,21,21,,,,
Tayyib, طيّب,21,21,,,,
Tenzile, تنزيله,502,502,,,,
Teslime, تسليمه,545,785,,,,
Tuba, طوبی,27,27,,,,
Tufan, طوفان,146,146,,,,
Turhan, طورخان,866,866,,,,
Tülay, تولاى,438,438,,,,
Türkan, توركان,677,677,,,,
Ufuk, افق,181,181,,,,
Umut, اوموت,453,453,,,,
Ülfet, الفت,511,511,,,,
Ümran, عمران,361,361,,,,
Ünal, اونال,88,88,,,,
Vahide, واحده,24,24,,,,
Vahit, واحد,19,19,,,,
Vahid, واحد,19,19,,,,
Vasfiye, وصفيه,191,161,,,,
Vildan, ولدان,91,91,,,,
Yadigar, یادگار,236,236,,,,
Yaşar, یاشار,512,1212,,,,
Yavuz, ياووز,30,30,,,,
Yelda, یَلدا,45,45,,,,
Yeliz, يليز,57,57,,,,
Yeşim, يشيم,360,1060,,,,
Yıldıray, يلديراى,256,256,,,,
Yıldırım, ییلدیرم,304,304,,,,
Yıldız, ييلديز,71,71,,,,
Yüksel, يوكسل,126,366,,,,
Zahide, زاهده,22,22,,,,
Zennuriye, ذنّوريه,971,971,,,,
Zeyneb, زينب,69,69,,,,
Zeytin, زیتون,473,473,,,,
Zübeyde, زُبیده,28,28,,,,
Zühal, زحل,45,45,,,,
Zülal, زلال,68,68,,,,
Züleyha, زليخة,652,652,,,,
Zülfiye, زلفيه,132,132,,,,
Zülfü, زلفو,123,123,,,,
Ahmed Arif, احمد عارف,404,404,,,,
Arif Ahmet, عارف احمد,404,404,,,,
Arif Ahmed, عارف احمد,404,404,,,,
Abdulhamid, عبد الحميد,169,169,,,,
Ayşe gül, عائشة كل,437,1137,,,,
Zehra Betül, زهرة بتول,655,655,,,,
Ertürk, ارتورك,827,827,,,,
Yakub, يعقوب,188,188,,,,
Seyit, سيد,74,314,,,,
Hadice, خديجة,622,622,,,,
Hafize, حفيظه,1003,903,,,,
Mevlüde, مولوده,91,91,,,,
Fikri, فكري,310,310,,,,
Tayfun, طيفون,155,155,,,,
Hacı, حاجى,13,13,,,,
Güngör, كونكور,302,302,,,,
Adlar, آدلار,236,236,,,,
Oğlan Adı,اوغلان آدی,1103,1003,,,,
Ad, آد,5,5,,,,
Burçin, بورچین,271,271,,,,
İsimler, اسملر,331,571,,,,
Güzel, گوزل,63,63,,,,
Türkcenin, تركجه نك,698,698,,,,
Türkce, تركجه,628,628,,,,
bir, بر,202,202,,,,
iki, ایكی,41,41,,,,
üç, اوچ,10,10,,,,
dört, درت,604,604,,,,
beş, بش,302,1002,,,,
altı, آلتی,441,441,,,,
yedi, یدی,24,24,,,,
sekiz, سكز,87,327,,,,
dokuz, طقوز,122,122,,,,
onbir, اون بر,259,259,,,,
oniki, اون ایکی,98,98,,,,
Fatih Sultan Mehmet, فاتح سلطان محمد,731,971,,,,
Maaş, معاش,411,1111,,,,
Kelime, كلمه,95,95,,,,
Kainat, كائنات,483,483,,,,
istisna, استثناء,1013,1253,,,,
Irsi, ارثی,711,711,,,,
Sümeyye, سُمیه,115,355,,,,
Recep Tayyip, رجب طيّب,226,226,,,,
Yemuş, يه موش,361,1061,,,,
Kamer, قمر,340,340,,,,
Kanaat, قناعة,226,226,,,,
Bülent, بلند,86,86,,,,
Eşref, اَشرف,581,1281,,,,
Memnune, ممنونة,191,191,,,,
Rıza, رضا,1001,291,,,,
Ali Rıza, علي رضا,1111,401,,,,
Abdulferid, عبدالفريد,401,401,,,,
Ferid, فريد,294,294,,,,
Abdülferid, عبدالفريد,401,401,,,,
Eymen, ايمن,101,101,,,,
Necmeddin, نجم الدين,188,188,,,,
Necmettin, نَجم‌الدین,188,188,,,,
Sabri, صبری,302,272,,,,
Mehmet Sabri, محمد صبري,394,364,,,,
Güzide, كوزيده,52,52,,,,
Ahmet Mesut, أحمد مسعود,233,473,,,,
Haydar, حیدر,222,222,,,,
Muzaffer, مُظفر,1220,1120,,,,
Keriman, كريمان,321,321,,,,
Şeyhmus, شهموز,358,1058,,,,
Şehmuz, شهموز,358,1058,,,,
Temren, تمرن,690,690,,,,
Mülkinaz, ملكيناز,158,158,,,,
Kürşad, كورشاد,531,1231,,,,
Gülal, كلال,81,81,,,,
Behtiye, بهتيه,422,422,,,,
Tevhide, توحیدا,429,429,,,,
Güleser, كل أسر,311,551,,,,
Nesip, نسيب,122,362,,,,
Şahhanım, شاه خانم,997,1697,,,,
Aytekin, آيتكين,491,491,,,,
Nezaket, نزاكت,478,478,,,,
Nurşah, نورشاه,562,1262,,,,
Mebrure, مبروره,453,453,,,,
Râhime, راحمه,254,254,,,,
Asena, آسه نه,121,361,,,,
Pervin, پروین,268,268,,,,
Asime, اصمه,136,106,,,,
Sema, سَما,101,341,,,,
Dila, ديلا,45,45,,,,
Hakime, حاكمه,74,74,,,,
Lamia, لامِعه,146,146,,,,
Şennaz, شن ناز,408,1108,,,,
Şener, شن أر,551,1251,,,,
Gülçin, كلچېن,1 Tanımsız: Chr(1744) ||1 boşluk||0 hareke,1 Tanımsız: Chr(1744) ||1 boşluk||0 hareke,,,,
Altay, التاى,433,433,,,,
Nurcihan, نورجهان,315,315,,,,
Antar, عنتر,720,720,,,,
Meriç, مرچ,243,243,,,,
Sevkan, سوقان,217,457,,,,
Özdil, اوزدل,48,48,,,,
Gülzade, كل زاده,67,67,,,,
Sadullah, صعاد الله,231,201,,,,
Nurhan, نورخان,907,907,,,,
Şinasi, شناسى,412,1352,,,,
Kadem, قدم,144,144,,,,
Tuna, طونه,70,70,,,,
Neziha, نزيهه,77,77,,,,
Tamam, تمام,481,481,,,,
Semira, سميره,315,555,,,,
Beyaz, بياض,813,103,,,,
Mihdiye, مهديه,64,64,,,,
Yurda, يوردا,221,221,,,,
Aybars, أيبارس,274,514,,,,
Zümra, زمرا,248,248,,,,
Sahra, صحراء,300,270,,,,
Akhenaton, اخناتون,1108,1108,,,,
Ümmiye, أمّية,56,56,,,,
Safura, صافورا,378,348,,,,
Ersel, ارسل,291,531,,,,
Muteber, معتبر,712,712,,,,
Gülsevim, كل سويم,166,406,,,,
Emriye, امريه,256,256,,,,
Didar, دیدار,219,219,,,,
Berrak, برّاق,303,303,,,,
Medine, مدينه,109,109,,,,
Güldeste, كل دسته,519,759,,,,
Necati, نجاتى,455,455,,,,
Çimen, چمن,93,93,,,,
Baki, باقي,113,113,,,,
Bakiye, باقيه,118,118,,,,
Feriye, فرييه,305,305,,,,
Rabiatül Adeviye, رابعة العدوية,404,404,,,,
Gülçimen, كلچمن,143,143,,,,
Nazike, نازكه,83,83,,,,
Fındık, فندق,234,234,,,,
Duran, دوران,261,261,,,,
Abidin, عابدين,137,137,,,,
Zümrüt, زمرد,251,251,,,,
Zühriye, زهريه,227,227,,,,
Ziyaüddin, ضياءالدّين,907,197,,,,
Zilan, زيلان,98,98,,,,
Zeynullah, زين الله,133,133,,,,
Zeynelabidin, زین‌العابدین,235,235,,,,
Zeynel, زينل,97,97,,,,
Zeyd, زيد,21,21,,,,
Zerrin, زرین,267,267,,,,
Zekeriya, زكريا,238,238,,,,
Zarife, ظریفه,1195,1095,,,,
İnşirah, انشراح,560,1260,,,,
Gülhatun, كل خاتون,1107,1107,,,,
Yuşa, یُوشع,386,1086,,,,
Yurdaer, يورده ار,426,426,,,,
Yücel, يوجل,49,49,,,,
Yonca, يونجا,70,70,,,,
Yılmaz, ييلماز,98,98,,,,
Yiğit, ييكيت,450,450,,,,
Yeter, يتر,610,610,,,,
Yekta, یکتا,431,431,,,,
Yaser, ياسر,271,511,,,,
Yaren, يارن,261,261,,,,
Yaprak, ياپراق,314,314,,,,
Yağmur, ياغمور,1257,1157,,,,
Yağız, ياغيز,1028,928,,,,
Vuslat, وصلت,526,496,,,,
Veysi, ويسى,77,317,,,,
Veysel, ويسل,106,346,,,,
Vesile, وسيله,111,351,,,,
Vera, ورع,276,276,,,,
Vedat, وِداد,15,15,,,,
Vatan, وطن,65,65,,,,
Vasfi, وصفي,186,156,,,,
Ünzile, انزيله,103,103,,,,
Ümmü, امّ,41,41,,,,
Üzeyir, عزير,287,287,,,,
Ümmühan, امّ خان,692,692,,,,
Ümmügülsüm, امّ كلثم,631,631,,,,
Ülkü, اولكو,63,63,,,,
Ülgen, اولكن,107,107,,,,
Uzel, اوزل,44,44,,,,
Umutcan, اومودجان,111,111,,,,
Umay, اوماى,49,49,,,,
Ulaş, اولاش,338,1038,,,,
Ukba, عقبى,173,173,,,,
Türk, تورك,626,626,,,,
Turgay, طورغاى,1217,1117,,,,
Turan, توران,657,657,,,,
Tuncer, تونجر,659,659,,,,
Tunay, توناى,458,458,,,,
Tülin, تولين,496,496,,,,
Tuğrul, طوغرول,1251,1151,,,,
Tuğra, طغرا,1210,1110,,,,
Tuana, توانا,458,458,,,,
Treyscilia, تيريسجيليا,734,974,,,,
Toprak, طوپراق,318,318,,,,
Tolga, طولقا,146,146,,,,
Timurhan, تيمورخان,1307,1307,,,,
Timur, تيمور,656,656,,,,
Timuçin, تيموچين,519,519,,,,
Teoman, تءومان,498,498,,,,
Tenay, تنآى,452,452,,,,
Temel, تمل,470,470,,,,
Tekin, تکین,480,480,,,,
Taybar, تايبار,614,614,,,,
Tarkan, تارقان,752,752,,,,
Tansu, طاڭصو,156,126,,,,
Tansel, تانسل,541,781,,,,
Talip, طالب,42,42,,,,
Talat, طلعت,509,509,,,,
Taha, طاها,16,16,,,,
Tacettin, تاج الدّين,499,499,,,,
Şeref, شرف,580,1280,,,,
Şahinde, شاهينده,375,1075,,,,
Şule, شعله,405,1105,,,,
Şükür, شكر,520,1220,,,,
Şüheda, شهدا,310,1010,,,,
Şuayb, شعيب,382,1082,,,,
Şivan, شيوان,367,1067,,,,
Şiar, شعار,571,1271,,,,
Şeyda, شِیدا,315,1015,,,,
Şevki, شوقي,416,1116,,,,
Şevket, شوکت,726,1426,,,,
Şentürk, شنتورك,976,1676,,,,
Şennur, شن نور,606,1306,,,,
Şeniz, شنيز,367,1067,,,,
Şendoğan, شن دوغان,1411,2011,,,,
Şenay, شن آى,352,1052,,,,
Şehriban, شهربان,558,1258,,,,
Şehnaz, شهناژ,363,1063,,,,
Şefika, شفيقه,495,1195,,,,
Şahan, شاهان,357,1057,,,,
Şaduman, شادمان,396,1096,,,,
Sudenur, سوده نور,331,571,,,,
Sude, سوده,75,315,,,,
Siyabend, سييابند,137,377,,,,
Sıtkı, صدقى,195,165,,,,
Sırma, صئرمه,346,316,,,,
Simge, سيمگه,135,375,,,,
Sıla, صله,125,95,,,,
Sezgi, سزكى,88,328,,,,
Seyyide, سيّده,79,319,,,,
Seyyid, سيّد,74,314,,,,
Seyhan, سيخان,721,961,,,,
Seyfullah, سِیف‌الله,216,456,,,,
Sevinç, سوينچ,129,369,,,,
Sevil, سِویل,106,346,,,,
Sevdegül, سوده كل,125,365,,,,
Sevde, سوده,75,315,,,,
Sevdanur, سودانور,327,567,,,,
Sevcan, سوجان,120,360,,,,
Sevban, ثَوبان,559,559,,,,
Serya, سريا,271,511,,,,
Server, سرور,466,706,,,,
Sertan, سرتان,711,951,,,,
Sertaç, سرتاچ,664,904,,,,
Serra, سرّاء,262,502,,,,
Serhat, سرحد,272,512,,,,
Serenay, سرناى,312,552,,,,
Serdem, سردم,304,544,,,,
Serçiyan, سرچييان,334,574,,,,
Sercan, سرجان,314,554,,,,
Senanur, ثنانور,807,807,,,,
Sena, ثَنا,551,551,,,,
Semanur, سمانور,357,597,,,,
Selviye, سلويه,111,351,,,,
Selina, سلينا,151,391,,,,
Selin, سَلین,150,390,,,,
Selay, سلاى,92,332,,,,
Sefer, سفر,340,580,,,,
Seden, سدن,114,354,,,,
Sedef, صدف,174,144,,,,
Sedanur, صدانور,351,321,,,,
Seçkin, سچكين,143,383,,,,
Satılmış, صاتيلمش,871,1541,,,,
Sarp, صارپ,293,263,,,,
Sara, سارا,262,502,,,,
Sancaklı, سانجاقلى,246,486,,,,
Safa, صفا,171,141,,,,
Sadıka, صادقه,200,170,,,,
Saadettin, سعد الدّين,229,469,,,,
Sadegül, ساده كل,120,360,,,,
Sabahattin, صباحالدّين,196,166,,,,
Raif, راءف,282,282,,,,
Raşide, راشده,510,1210,,,,
Rüzgar, روزگار,434,434,,,,
Rüveyde, رويده,225,225,,,,
Rüştü, رشدى,505,1205,,,,
Ruşen, روشن,556,1256,,,,
Rıfat, رفعت,750,750,,,,
Reha, رها,206,206,,,,
Rasime, راسمه,306,546,,,,
Rasim, راسم,301,541,,,,
Rana, رعنا,321,321,,,,
Ramiz, رامز,248,248,,,,
Polat, پولات,439,439,,,,
Paşa, پاشا,304,1004,,,,
Ömürlü, عمرلو,346,346,,,,
Ömür, عمر,310,310,,,,
Özüberk, اوزىبرك,237,237,,,,
Öztürk, اوزتورك,640,640,,,,
Özsu, اوزصو,110,80,,,,
Özkan, اوزقان,165,165,,,,
Özhan, اوزخان,665,665,,,,
Özgürhan, اوزكورخان,891,891,,,,
Özen, اوزن,64,64,,,,
Özden, اوزدن,68,68,,,,
Öykü, اويكو,43,43,,,,
Ölmez, اولمز,84,84,,,,
Orhanalp, اورخان الپ,891,891,,,,
Nurçin, نورچين,319,319,,,,
Nurseven, نورسون,372,612,,,,
Nazik, نازك,78,78,,,,
Nusret, نُصرت,740,710,,,,
Nurulhüda, نورالهدا,297,297,,,,
Nurmelek, نورملك,346,346,,,,
Nurgül, نوركل,306,306,,,,
Nurdan, نوردن,310,310,,,,
Nurbanu, نوربانو,315,315,,,,
Niyazi, نيازى,69,69,,,,
Nisanur, نسانور,367,607,,,,
Nihan, نهان,106,106,,,,
Nida, نِدا,55,55,,,,
Nezir, نَذیر,960,960,,,,
Nevanur, نوانور,313,313,,,,
Neva, نوا,57,57,,,,
Neslişah, نسل شاه,446,1386,,,,
Neşe, نشءه,356,1056,,,,
Nehir, نهر,255,255,,,,
Nedime, نَدیمه,109,109,,,,
Nedim, نديم,104,104,,,,
Necibe, نجيبه,70,70,,,,
Necip, نَجیب,65,65,,,,
Nazlıcan, نازلى جان,143,143,,,,
Nazan, نازان,109,109,,,,
Nagihan, ناگهان,127,127,,,,
Nagehan, ناگهان,127,127,,,,
Nafize, نافذه,836,836,,,,
Nafiz, نافذ,831,831,,,,
Nafiye, نافيه,146,146,,,,
Nadiye, ناديه,70,70,,,,
Minnet, منّت,490,490,,,,
Mahperi, ماهپرى,249,249,,,,
Meserret, مسرّت,700,940,,,,
Müyesser, ميسّر,310,550,,,,
Müslüm, مسلم,170,410,,,,
Müslime, مسلمه,175,415,,,,
Müslim, مُسلِم,170,410,,,,
Müşerref, مشرّف,620,1320,,,,
Muradiye, مراديه,260,260,,,,
Munise, مونسه,161,401,,,,
Mülhime, ملهمه,120,120,,,,
Mukaddes, مقدّس,204,444,,,,
Müjgan, مژگان,118,118,,,,
Müjdat, موژداد,62,62,,,,
Müge, موكه,71,71,,,,
Mücella, مجلّا,74,74,,,,
Mücahit, مجاهد,53,53,,,,
Müberra, مبرّا,243,243,,,,
Muaz, معاذ,811,811,,,,
Mualla, معلّى,141,141,,,,
Mirza, ميرزا,258,258,,,,
Miray, ميراى,252,252,,,,
Mindaş, مينطاش,410,1110,,,,
Mina, مئنا,102,102,,,,
Mikdat, مقداد,149,149,,,,
Meyra, ميرا,251,251,,,,
Mevlüt, مولد,80,80,,,,
Mevlit, مولد,80,80,,,,
Meva, مأوى,48,48,,,,
Meriha, مريخه,855,855,,,,
Merih, مريخ,850,850,,,,
Mennan, منّان,141,141,,,,
Menekşe, منكشه,415,1115,,,,
Melisa, ملیسا,141,381,,,,
Melda, ملدا,75,75,,,,
Mekiye, مكئه,76,76,,,,
Mazlum, مظلوم,1016,916,,,,
Maksut, مقصود,240,210,,,,
Mahsun, محسون,164,404,,,,
Mahinur, ماه نور,302,302,,,,
Mahidevran, ماهدوران,307,307,,,,
Lütfü, لطفى,120,120,,,,
Lokman, لقمان,221,221,,,,
Levent, لوند,90,90,,,,
Leman, لمعان,191,191,,,,
Lami, لامع,141,141,,,,
Kiraz, كيراز,238,238,,,,
Kutluhan, قوتلى خان,1188,1188,,,,
Kutay, قوتاى,508,508,,,,
Koray, قوراى,308,308,,,,
Kıvanç, قيوانچ,170,170,,,,
Kibariye, كباريه,238,238,,,,
Keskinkılıç, كسكين قيليچ,313,553,,,,
Kayra, قايرا,312,312,,,,
Kaya, قايا,112,112,,,,
Kardelen, قاردلن,385,385,,,,
Kamuran, کامران,312,312,,,,
Kamber, قنبر,352,352,,,,
Kalender, قلندر,384,384,,,,
Kahraman, قهرمان,396,396,,,,
Kağan, قاغان,1152,1052,,,,
Kaan, قاآن,152,152,,,,
İzzet, عِزت,477,477,,,,
İsrafil, اِسرافیل,382,622,,,,
Ismahan, اسم خان,752,992,,,,
İsmihan, اسم خان,752,992,,,,
İskender, اسکندر,335,575,,,,
İrfan, عرفان,401,401,,,,
İpek, ایپک,33,33,,,,
İmdat, امداد,50,50,,,,
İlker, ايلكر,261,261,,,,
İlke, ايلكه,66,66,,,,
İlkay, ايلك آى,63,63,,,,
İlhami, الهامى,78,78,,,,
İlgi, ايلكى,62,62,,,,
İlayda, ايلايدا,57,57,,,,
İkrime, اكرمه,266,266,,,,
İkra, اقرأ,302,302,,,,
İkbal, اِقبال,134,134,,,,
İdris, اِدریس,275,515,,,,
İclal, اِجلال,65,65,,,,
Iraz, ايراز,219,219,,,,
Haris, حارث,709,709,,,,
Hicran, هجران,259,259,,,,
Huzeyfe, حذيفه,803,803,,,,
Hüsnü, حسنى,119,359,,,,
Hüsna, حسنى,119,359,,,,
Hürü, خرو,806,806,,,,
Hürcan, حرجان,262,262,,,,
Hunalp, حون آلپ,97,97,,,,
Hüma, هُما,46,46,,,,
Hulusi, خلوصى,727,697,,,,
Hivel, هيول,51,51,,,,
Hilmiye, حلميه,93,93,,,,
Hidayet, هدايت,420,420,,,,
Helin, هلين,95,95,,,,
Hazim, حازم,56,56,,,,
Hayrettin, خئرالدّين,906,906,,,,
Hayati, حياتى,420,420,,,,
Hayat, حیات,419,419,,,,
Havvanur, حوّا نور,271,271,,,,
Havana, حوا آنا,67,67,,,,
Hatun, خاتون,1057,1057,,,,
Hasret, حسرت,668,908,,,,
Hande, خنده,659,659,,,,
Halise, خالصه,726,696,,,,
Hale, هاله,41,41,,,,
Hakkı, حقّى,109,109,,,,
Habil, هابیل,48,48,,,,
Habib, حبيب,22,22,,,,
Gürsel, كورسل,316,556,,,,
Güven, كوون,82,82,,,,
Gürkan, گورقان,377,377,,,,
Gürhan, كورخان,877,877,,,,
Gurbet, غربت,1602,1502,,,,
Güntülü, كونتولى,513,513,,,,
Güner, كونر,276,276,,,,
Gündüz, كوندوز,93,93,,,,
Gümüş, كوموش,372,1072,,,,
Gülserap, كل سراب,313,553,,,,
Gülsefa, كلصفا,221,191,,,,
Gülperi, كل پرى,253,253,,,,
Gülnur, كلنور,306,306,,,,
Gülnazik, كلنازك,128,128,,,,
Gülendam, كل اندام,146,146,,,,
Gülen, كولن,106,106,,,,
Gülbin, كلبين,112,112,,,,
Güçer, كوچر,229,229,,,,
Göktuğ, گوكتوغ,1452,1352,,,,
Gökçen, گوكچن,99,99,,,,
Gizem, كيزم,77,77,,,,
Gaye, غايه,1016,916,,,,
Fethullah, فتح الله,554,554,,,,
Furkan, فُرقان,431,431,,,,
Fulya, فوليا,127,127,,,,
Firkat, فرقت,780,780,,,,
Fidaye, فدايه,100,100,,,,
Feyyaz, فیاض,891,181,,,,
Fevzi, فوزى,94,94,,,,
Fettah, فتّاح,489,489,,,,
Fesih, فصيح,188,158,,,,
Ferhunde, فرخنده,939,939,,,,
Ferda, فردا,285,285,,,,
Fehmi, فهمى,126,126,,,,
Fedakar, فذاكار,1002,1002,,,,
Fatmanur, فاطمه نور,391,391,,,,
Faika, فاءقه,187,187,,,,
Faik, فاءق,182,182,,,,
Fahriye, فخریه,895,895,,,,
Jale, ژاله,43,43,,,,
Itır, عطر,279,279,,,,
Irmak, ايرماك,272,272,,,,
Ezgi, ازكى,29,29,,,,
Evdegül, أوده كل,66,66,,,,
Ethem, اَدهم,50,50,,,,
Esingül, اسينكل,171,411,,,,
Esat, أسعد,135,375,,,,
Erva, اروع,277,277,,,,
Ersoy, ارصوى,298,268,,,,
Ender, اندر,255,255,,,,
Ersin, آرسن,311,551,,,,
Ersen, ارسن,311,551,,,,
Ergün, اركون,277,277,,,,
Erkin, اركين,281,281,,,,
Ergin, اركين,281,281,,,,
Erdi, اردى,206,206,,,,
Ercüment, ارجمند,298,298,,,,
Eralp, ارآلپ,234,234,,,,
Enver, انور,257,257,,,,
Enis, اَنیس,121,361,,,,
Engin, انكين,131,131,,,,
Emrullah, امرالله,307,307,,,,
Emrah, امراح,250,250,,,,
Emirhan, اميرحان,310,310,,,,
Emircan, اميرجان,305,305,,,,
Emil, اميل,81,81,,,,
Emetullah, امتالله,507,507,,,,
Elida, اليدا,46,46,,,,
Elçin, الچين,94,94,,,,
Elanur, الانور,288,288,,,,
Ekmeleddin, اكملالدّين,186,186,,,,
Ekmel, اكمل,91,91,,,,
Egemen, اكه من,116,116,,,,
Egehan, اكه خان,677,677,,,,
Efsane, افسانه,197,437,,,,
Efehan, أفه خان,737,737,,,,
Efdal, افضل,911,201,,,,
Ediz, اديز,22,22,,,,
Edibe, ادیبه,22,22,,,,
Edip, ادیب,17,17,,,,
Ecrin, اجرين,264,264,,,,
Ebubekir, ابوبكر,231,231,,,,
Ebu Huzeyfe, أبوحذيفه,812,812,,,,
Duygu, دويغو,1026,926,,,,
Durukan, دوروقان,367,367,,,,
Duru, دورو,216,216,,,,
Dorukhan, طوروق خان,972,972,,,,
Döndü, دوندو,70,70,,,,
Doğukan, دوغوقان,1167,1067,,,,
Doğanay, دوغاناى,1063,963,,,,
Dilçem, ديلچم,87,87,,,,
Dilay, ديلاى,46,46,,,,
Dilaver, دلاور,241,241,,,,
Dilanur, ديلانور,301,301,,,,
Dilan, دیلان,95,95,,,,
Didem, ديدم,58,58,,,,
Derviş, درويش,520,1220,,,,
Demirtaş, دميرطاش,564,1264,,,,
Demirhan, دميرخان,905,905,,,,
Demir, دمير,254,254,,,,
Demet, دمت,444,444,,,,
Defne, دفنه,139,139,,,,
Çisem, چيسم,113,353,,,,
Çinuçen, چينوچن,122,122,,,,
Çilem, چيلم,83,83,,,,
Çetinkaya, چتين قايا,575,575,,,,
Çetin, چتين,463,463,,,,
Çeşminaz, چشم ناز,401,1101,,,,
Çeliksu, چليكصو,159,129,,,,
Çelebi, چلبی,45,45,,,,
Çakır, چاقير,314,314,,,,
Cağatay, چاغاتاى,1407,1307,,,,
Canberk, جان برك,276,276,,,,
Civan, جوان,60,60,,,,
Ceylin, جيلين,103,103,,,,
Ceyhun, جیحون,77,77,,,,
Ceyhan, جيحان,72,72,,,,
Cevat, جواد,14,14,,,,
Cemre, جمره,248,248,,,,
Cem, جم,43,43,,,,
Cebrail, جبراءيل,247,247,,,,
Cebel, جبل,35,35,,,,
Caner, جانر,254,254,,,,
Cahide, جاهده,18,18,,,,
Beşire, بشيره,517,1217,,,,
Beşir, بَشیر,512,1212,,,,
Buse, بوسه,73,313,,,,
Bünyamin, بِنیامین,163,163,,,,
Bulut, بولوت,444,444,,,,
Buğra, بغرا,1203,1103,,,,
Buğlem, بوغلم,1078,978,,,,
Buğçe, بوغچه,1016,916,,,,
Birsen, بیرسَن,322,562,,,,
Binnaz, بيگناز,90,90,,,,
Binali, بن على,153,153,,,,
Bilgen, بيلكن,112,112,,,,
Bilgehan, بيلكه خان,718,718,,,,
Bilge, بيلكه,67,67,,,,
Bezen, بزن,59,59,,,,
Beyzanur, بيضانور,1069,359,,,,
Beytullah, بيت الله,478,478,,,,
Beyda, بيدا,17,17,,,,
Betilgül, بتيل كل,492,492,,,,
Betil, بتيل,442,442,,,,
Bessem, بسّام,103,343,,,,
Besiye, بسيه,77,317,,,,
Besim, بَسیم,112,352,,,,
Berra, برّا,203,203,,,,
Berke, بركه,227,227,,,,
Berivan, بريوان,269,269,,,,
Bergüzar, بركزار,430,430,,,,
Berfin, بَرفین,342,342,,,,
Beray, براى,204,204,,,,
Berat, بَرات,603,603,,,,
Bera, برا,203,203,,,,
Bengü, بنكو,78,78,,,,
Bengisu, بنكيصو,178,148,,,,
Beliz, بليز,49,49,,,,
Behram, بَهرام,248,248,,,,
Behiye, بِهیه,22,22,,,,
Behcet, بهجت,410,410,,,,
Bedrullah, بدرالله,272,272,,,,
Bedirhan, بدرخان,857,857,,,,
Bedir, بدر,206,206,,,,
Bediha, بديخه,621,621,,,,
Bedih, بديخ,616,616,,,,
Bayram, بايرام,254,254,,,,
Bayezid, بايزيد,34,34,,,,
Baturalp, باتورالپ,642,642,,,,
Battal, بطّال,42,42,,,,
Başak, باشاق,404,1104,,,,
Barış, باريش,513,1213,,,,
Barbaros, بارباروس,472,712,,,,
Bahtiyar, بختیار,1213,1213,,,,
Bahriye, بحريه,225,225,,,,
Bahir, باهر,208,208,,,,
Azra, عَذرا,971,971,,,,
Azmi, عظمى,1011,911,,,,
Azime, عظیمه,1025,925,,,,
Azim, عظیم,1020,920,,,,
Ayselin, آيسلين,161,401,,,,
Aykan, آيقان,162,162,,,,
Aygül, آی‌گل,61,61,,,,
Aydoğan, آىدوغان,1063,963,,,,
Aydan, آیدان,66,66,,,,
Aycan, آيجان,65,65,,,,
Ayça, آيچه,19,19,,,,
Aybüke, آىبوكه,35,35,,,,
Aybeniz, آيبڭز,70,70,,,,
Aybala, آىبالا,36,36,,,,
Avni, عونى,127,127,,,,
Atike, عتيقه,585,585,,,,
Atik, عتيق,580,580,,,,
Atahan, آتاخان,1053,1053,,,,
Ataberk, آتابرك,624,624,,,,
Ata, آتا,402,402,,,,
Asuhan, آسوخان,718,958,,,,
Asude, آسوده,76,316,,,,
Asu, آسو,67,307,,,,
Aslınur, آصلى نور,378,348,,,,
Aslan, آصلان,172,142,,,,
Aşkın, آشقين,461,1161,,,,
Hira, خرا,801,801,,,,
Asıf, عاصِف,241,211,,,,
Asel, عسل,160,400,,,,
Arda, آردا,206,206,,,,
Anıl, آنیل,91,91,,,,
Amine, آمنه,96,96,,,,
Amber, عنبر,322,322,,,,
Alptuğ, آلپطوغ,1048,948,,,,
