tr isim,os_isim ,ebced,mağribi ebced,,,,
Hamza, حمزه,60,60,,,,
Hanife, حنیفه,153,153,,,,
Halit, خالِد,635,635,,,,
Halide, خالِده,640,640,,,,
Hatice, خدیجه,622,622,,,,
Halil, خلیل,670,670,,,,
Hayri, خيري,820,820,,,,
Raşit, راشد,505,1205,,,,
Refik, رفيق,390,390,,,,
Zekiye, ذَکیه,735,735,,,,
Zeliha, زليحا,56,56,,,,
Zehra, زهرا,213,213,,,,
Salim, سالم,131,371,,,,
Sami, سامی,111,351,,,,
Selim, سَلیم,140,380,,,,
Salime, سالمه,136,376,,,,
Sait, سَعد,134,374,,,,
Sakine, سَکینه,145,385,,,,
Sultan, سلطان,150,390,,,,
Selva, سِلوا,97,337,,,,
Selime, سَلیمه,145,385,,,,
Şahin, شاهین,366,1066,,,,
Şerif, شریف,590,1290,,,,
Şeyma, شيما,351,1051,,,,
Sadık, صادق,195,165,,,,
Salih, صالح,129,99,,,,
Saliha, صالحه,134,104,,,,
Tarık, طارق,310,310,,,,
Zafer, ظافر,1181,1081,,,,
Abit, عابد,77,77,,,,
Arif, عارف,351,351,,,,
Atıf, عاطِف,160,160,,,,
Aliye, عالیه,116,116,,,,
Abbas, عباس,133,373,,,,
Abdullah, عبد الله,142,142,,,,
Abdulhamit, عبد الحميد,169,169,,,,
Abdulhakim, عبد الحكيم,185,185,,,,
Abdulcelil, عبد الجليل,180,180,,,,
Abdulhalık, عبد الخالق,838,838,,,,
Abdulkadir, عبد القادر,412,412,,,,
Abdulaziz, عبد العزيز,201,201,,,,
Abdurrahman, عبد الرحمن,405,405,,,,
Abdurrahim, عبد الرحيم,365,365,,,,
abdulkerim, عبد الكريم,377,377,,,,
abdullatif, عبد اللطيف,236,236,,,,
abdulvahit, عبد الواحد,126,126,,,,
Adnan, عَدنان,175,175,,,,
Aziz, عزیز,94,94,,,,
Azize, عزیزه,99,99,,,,
Afra, افرا,282,282,,,,
İmran, إمرن,291,291,,,,
Galip, غالب,1033,933,,,,
Fatih, فاتح,489,489,,,,
Faruk, فاروق,387,387,,,,
Fatma, فاطمه,135,135,,,,
Feride, فریده,299,299,,,,
Fevziye, فوزيه,108,108,,,,
Kazım, کاظم,961,861,,,,
Kamil, کامل,91,91,,,,
Kerim, کریم,270,270,,,,
Kerime, کریمه,275,275,,,,
Kemal, کمال,91,91,,,,
Kevser, كوثر,726,726,,,,
Latife, لتيفه,525,525,,,,
Macit, ماجد,48,48,,,,
Macide, ماجده,53,53,,,,
Malik, مالِک,91,91,,,,
Mübarek, مبارک,263,263,,,,
Mahmut, محمود,98,98,,,,
Muhsin, محسن,158,398,,,,
Murat, مُراد,245,245,,,,
Mervan, مَروان,297,297,,,,
Mesut, مسعود,180,420,,,,
Münir, منير,300,300,,,,
Münire, مُنیره,305,305,,,,
Mehdi, مهدی,59,59,,,,
Naile, نائله,97,97,,,,
Naci, ناجی,64,64,,,,
Naciye, ناجیه,69,69,,,,
Nasır, ناصر,341,311,,,,
Nebil, نَبیل,92,92,,,,
Nebile, نبيله,97,97,,,,
Necla, نَجلا,84,84,,,,
Nesim, نَسیم,160,400,,,,
Nesibe, نَسیبه,127,367,,,,
Numan, نعمان,211,211,,,,
Naime, نائمه,107,107,,,,
Naim, نَعیم,170,170,,,,
Nefise, نَفیسه,205,445,,,,
Neval, نَوال,87,87,,,,
Nur, نور,256,256,,,,
Nesrin, نسرین,370,610,,,,
Nihat, نهاد,60,60,,,,
Nadire, نادره,260,260,,,,
Hacer, حجر,211,211,,,,
Haşim, هاشم,346,1046,,,,
Hadiye, هادیه,25,25,,,,
Hilal, هلال,66,66,,,,
Hifa, هيفاء,97,97,,,,
Velit, ولید,50,50,,,,
Verda, وَردا,211,211,,,,
Yasir, یاسر,271,511,,,,
Yasemin, یاسمین,171,411,,,,
Yusuf, یوسف,156,396,,,,
Yunus, یونس,126,366,,,,
Cihat, جهاد,13,13,,,,
Ceyda, جيدا,18,18,,,,
Cihan, جهان,59,59,,,,
Murtaza, مرتضی,1450,740,,,,
Musab, مصعب,202,172,,,,
Nuran, نوران,307,307,,,,
Ebrar, اَبرار,404,404,,,,
Celil, جلیل,73,73,,,,
Cennet, جَنت,453,453,,,,
Hayriye, خيريه,825,825,,,,
Remzi, رمزى,248,248,,,,
Selman, سَلمان,181,421,,,,
Semra, سَمرا,301,541,,,,
Sündüs, سُندُس,174,654,,,,
Şermin, شَرمین,600,1300,,,,
Şerife, شریفه,595,1295,,,,
Şefik, شفیق,490,1190,,,,
Şemsettin, شمس الدين,495,1435,,,,
Sıdkı, صدقي,204,174,,,,
Tahir, طاهر,215,215,,,,
Adile, عَدیله,119,119,,,,
Alime, عالمه,146,146,,,,
Ferit, فَرید,294,294,,,,
Kamile, کامله,96,96,,,,
Maya, مایا,52,52,,,,
Muhtar, مختار,1241,1241,,,,
Mercan, مرجان,294,294,,,,
Neriman, نَریمان,351,351,,,,
Nurettin, نور الدين,351,351,,,,
Vehbi, وهبي,23,23,,,,
Yaman, يامن,101,101,,,,
Melek, ملاك,91,91,,,,
Sacit, ساجد,68,308,,,,
Sacide, ساجده,73,313,,,,
Asım, اصم,131,101,,,,
Fazıl, فاضل,911,201,,,,
Fahri, فخری,890,890,,,,
Kâdir, قادر,305,305,,,,
Kenan, کنعان,191,191,,,,
Mahir, ماهر,246,246,,,,
Yezit, يزيد,31,31,,,,
İbrahim, اِبراهیم,259,259,,,,
Süleyman, سلیمان,191,431,,,,
Nermin, نرمين,350,350,,,,
Şehrazat, شهرزاد,517,1217,,,,
Şirin, شیرین,570,1270,,,,
Feryal, فريال,321,321,,,,
İshak, اِسحاق,170,410,,,,
İlyas, الیاس,102,342,,,,
Eyyüp, ایوب,19,19,,,,
Zekeriyya, زکریا,238,238,,,,
Suzan, سوزان,124,364,,,,
Nuh, نوح,64,64,,,,
Can, جان,54,54,,,,
Harun, هارون,262,262,,,,
Ahmet Arif, احمد عارف,404,404,,,,
İlhan, ايلخان,692,692,,,,
Güllü, كللي,90,90,,,,
Burak, براق,303,303,,,,
Keziban, كزيبان,90,90,,,,
Bedia, بديعة,91,91,,,,
Asiye, آسيه,76,316,,,,
Efe, أفه,86,86,,,,
Selman Efe, سلمان أفه,267,507,,,,
Mert, مرد,244,244,,,,
Altan, آلتان,482,482,,,,
Turgut, طورغود,1225,1125,,,,
Özge, اوزكه,39,39,,,,
Senem, سنم,150,390,,,,
Ferhan, فرحان,339,339,,,,
Rukiye, رقيه,315,315,,,,
Muammer, معمر,350,350,,,,
Enes, انس,111,351,,,,
Hüseyin Enes, حسين انس,239,719,,,,
Enes Kemal, انس كمال,202,442,,,,
Hasan Hüseyin, حسن حسين,246,726,,,,
Hilmi, حلمى,79,79,,,,
Ahmet Hilmi, أحمد حلمي,141,141,,,,
Mehmet Kemal, محمد كمال,183,183,,,,
Kezban, كزبان,80,80,,,,
Mustafa Selim, مصطف سليم,359,569,,,,
Zeynep, زینب,69,69,,,,
Gülderen, كلدرن,304,304,,,,
Zeynep Gülderen, زينب كلدرن,373,373,,,,
Gül, كل,50,50,,,,
Burak İlhan, بوراق ايلخان,1001,1001,,,,
Ayşe, عاءشه,377,1077,,,,
Ebu Bekir, ابوبکر,231,231,,,,
Rabia, رابعه,278,278,,,,
Büşra, بُشری,512,1212,,,,
Nisa, نسا,111,351,,,,
Ganime, غنيمة,1105,1005,,,,
Fatma Nisa, فاطمة نساء,247,487,,,,
Ganimet, غنيمة,1105,1005,,,,
Erkut, ايركت,631,631,,,,
Mikail, مئكاءيل,113,113,,,,
Mikail Altan, مكايل آلتان,583,583,,,,
Veli, ولی,46,46,,,,
Doğan, دوغان,1061,961,,,,
Erdoğan, اردوغان,1262,1162,,,,
Ertan, ارتان,652,652,,,,
Betül, بتول,438,438,,,,
Bahri, بحرى,211,211,,,,
Asya, آسيا,72,312,,,,
Sevtap, سوطاپ,78,318,,,,
Lütfiye, لطفيه,134,134,,,,
Gülsüm, کلثوم,596,596,,,,
Ümmü Gülsüm, اُم‌کلثوم,637,637,,,,
Kıymet, قيمت,550,550,,,,
Aslı, اصلي,131,101,,,,
Nursel, نورسل,346,586,,,,
Aylin, آیلین,101,101,,,,
Özcan, اوزجان,68,68,,,,
Özlem, اوزلم,84,84,,,,
Kübra, کُبری,232,232,,,,
Tuğba, طوبى,18,18,,,,
Ayşegül, عاءشه كل,427,1127,,,,
Su, صو,96,66,,,,
Fatma Su, فاطمة صو,231,201,,,,
İsmet, عصمت,600,570,,,,
Münevver, مُنور,296,296,,,,
Ela, الا,32,32,,,,
Ela Nur, الا نور,288,288,,,,
Cemal, جمال,74,74,,,,
Camal, جمال,74,74,,,,
Uğur, اوغور,1213,1113,,,,
Nuruz, نوروز,269,269,,,,
Ege, اكه,26,26,,,,
Süleyman Hilmi, سليمان حلمي,279,519,,,,
Tunahan, طوناخان,717,717,,,,
Emre, امره,246,246,,,,
Feridun, فريدون,350,350,,,,
İrem, ارم,241,241,,,,
İsra, اِسرا,262,502,,,,
Hakan, خاقان,752,752,,,,
Rumeysa, رُمَیصا,341,311,,,,
Sevim, سویم,116,356,,,,
Metin, متین,500,500,,,,
Erdinç, اردينچ,268,268,,,,
İnanç, انانچ,105,105,,,,
Nasuh, نصوح,154,124,,,,
